time_trame,label,acc_x_1,acc_y_1,acc_z_1,acc_x_2,acc_y_2,acc_z_2,acc_x_3,acc_y_3,acc_z_3,acc_x_4,acc_y_4,acc_z_4,acc_x_5,acc_y_5,acc_z_5,acc_x_6,acc_y_6,acc_z_6,acc_x_7,acc_y_7,acc_z_7,acc_x_8,acc_y_8,acc_z_8,acc_x_9,acc_y_9,acc_z_9,acc_x_10,acc_y_10,acc_z_10,acc_x_11,acc_y_11,acc_z_11,acc_x_12,acc_y_12,acc_z_12,acc_x_13,acc_y_13,acc_z_13,acc_x_14,acc_y_14,acc_z_14,acc_x_15,acc_y_15,acc_z_15,acc_x_16,acc_y_16,acc_z_16,acc_x_17,acc_y_17,acc_z_17,acc_x_18,acc_y_18,acc_z_18,acc_x_19,acc_y_19,acc_z_19,acc_x_20,acc_y_20,acc_z_20,gyro_x_1,gyro_y_1,gyro_z_1,gyro_x_2,gyro_y_2,gyro_z_2,gyro_x_3,gyro_y_3,gyro_z_3,gyro_x_4,gyro_y_4,gyro_z_4,gyro_x_5,gyro_y_5,gyro_z_5
30.75,0,0.93696,0.0,-0.187392,0.93696,0.0,-0.187392,0.93696,0.0,-0.187392,0.93696,0.0,-0.187392,0.93696,0.0,-0.187392,1.124352,0.0,-0.187392,1.124352,0.0,-0.187392,1.124352,0.0,-0.187392,1.124352,0.0,-0.187392,1.124352,0.0,-0.187392,1.124352,0.0,-0.187392,0.93696,0.0,-0.187392,1.124352,0.0,-0.187392,1.124352,0.0,-0.187392,0.93696,0.0,-0.187392,0.749568,0.0,0.0,0.749568,-0.187392,0.0,0.749568,-0.187392,0.0,0.93696,-0.187392,0.0,0.93696,-0.187392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,0,1.124352,-0.187392,0.0,1.124352,-0.187392,0.0,1.124352,-0.187392,0.0,1.124352,-0.187392,0.0,1.124352,-0.187392,0.0,1.124352,-0.187392,-0.187392,1.124352,-0.187392,-0.187392,1.124352,-0.187392,-0.187392,0.93696,-0.187392,-0.187392,0.93696,-0.187392,-0.187392,0.93696,-0.187392,-0.187392,0.93696,-0.187392,-0.187392,0.93696,-0.187392,-0.187392,0.749568,-0.187392,-0.187392,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.187392,0.749568,-0.187392,-0.187392,0.749568,-0.187392,-0.187392,0.562176,-0.187392,-0.187392,0.562176,-0.187392,-0.187392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.25,0,0.562176,-0.187392,-0.374784,0.562176,-0.187392,-0.374784,0.562176,-0.187392,-0.374784,0.562176,-0.187392,-0.374784,0.562176,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.374784,-0.374784,0.749568,-0.374784,-0.374784,0.93696,-0.374784,-0.374784,0.93696,-0.374784,-0.374784,1.124352,-0.187392,-0.374784,1.124352,-0.187392,-0.374784,1.124352,0.0,-0.374784,1.124352,0.0,-0.374784,1.124352,0.0,-0.374784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.5,0,1.124352,0.0,-0.562176,1.124352,0.0,-0.562176,1.124352,0.187392,-0.562176,0.93696,0.0,-0.562176,0.749568,-0.374784,-0.749568,0.749568,-0.562176,-0.749568,0.749568,-0.374784,-0.374784,0.749568,0.0,-0.187392,0.749568,0.0,-0.187392,0.749568,0.187392,-0.187392,0.749568,0.187392,-0.374784,0.749568,0.187392,-0.562176,0.93696,0.187392,-0.562176,0.93696,0.187392,-0.562176,0.93696,0.187392,-0.374784,0.93696,0.187392,-0.374784,1.124352,0.187392,-0.187392,1.124352,0.0,-0.187392,1.124352,0.187392,-0.187392,1.124352,0.187392,-0.187392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.75,0,0.93696,0.187392,-0.187392,0.749568,0.187392,-0.374784,0.749568,0.187392,-0.374784,0.749568,0.187392,-0.187392,0.93696,0.187392,0.0,0.93696,0.187392,0.0,0.93696,0.374784,0.0,0.93696,0.374784,-0.187392,0.93696,0.374784,-0.187392,0.93696,0.374784,-0.374784,0.749568,0.374784,-0.374784,0.749568,0.374784,-0.374784,0.749568,0.187392,-0.374784,0.749568,0.187392,-0.374784,0.93696,0.187392,-0.374784,0.749568,0.187392,-0.374784,0.749568,0.187392,-0.562176,0.749568,0.187392,-0.562176,0.749568,0.187392,-0.562176,0.749568,0.187392,-0.562176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,0,0.93696,0.374784,-0.562176,0.93696,0.374784,-0.374784,0.93696,0.374784,-0.374784,0.93696,0.374784,-0.374784,1.124352,0.187392,-0.374784,0.93696,0.187392,-0.374784,0.93696,0.187392,-0.374784,1.124352,0.187392,-0.374784,0.93696,0.187392,-0.374784,0.93696,0.374784,-0.187392,0.93696,0.374784,-0.187392,0.93696,0.187392,-0.187392,0.93696,0.187392,-0.187392,0.93696,0.187392,-0.374784,0.93696,0.187392,-0.187392,0.93696,0.187392,-0.187392,0.93696,0.374784,-0.187392,0.93696,0.374784,-0.187392,0.93696,0.187392,-0.187392,0.93696,0.187392,-0.187392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.25,0,0.93696,0.187392,-0.187392,0.93696,0.187392,-0.187392,0.93696,0.187392,-0.187392,0.93696,0.187392,-0.187392,0.93696,0.0,0.0,0.93696,0.0,0.0,0.93696,0.0,0.0,0.93696,0.0,0.0,0.93696,-0.187392,0.0,0.93696,-0.187392,0.0,0.93696,-0.187392,0.0,0.93696,-0.187392,0.0,0.93696,-0.187392,0.0,0.93696,-0.187392,0.0,0.93696,-0.187392,0.0,0.93696,-0.187392,0.0,0.93696,-0.374784,0.0,0.93696,-0.374784,0.0,0.93696,-0.374784,0.0,0.93696,-0.374784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.5,0,0.93696,-0.374784,0.0,0.93696,-0.374784,0.0,0.749568,-0.562176,0.0,0.749568,-0.562176,0.0,0.749568,-0.562176,0.0,0.749568,-0.562176,0.0,0.749568,-0.562176,0.0,0.749568,-0.562176,0.0,0.749568,-0.562176,0.0,0.749568,-0.562176,-0.187392,0.749568,-0.562176,0.0,0.749568,-0.562176,0.0,0.749568,-0.749568,-0.187392,0.749568,-0.749568,-0.187392,0.749568,-0.749568,-0.187392,0.749568,-0.749568,-0.187392,0.749568,-0.749568,-0.187392,0.749568,-0.749568,-0.187392,0.749568,-0.749568,-0.187392,0.749568,-0.749568,-0.187392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.75,0,0.749568,-0.749568,-0.187392,0.749568,-0.749568,-0.187392,0.749568,-0.749568,-0.187392,0.749568,-0.749568,-0.187392,0.749568,-0.749568,-0.187392,0.749568,-0.749568,-0.187392,0.749568,-0.749568,-0.187392,0.749568,-0.749568,-0.187392,0.749568,-0.749568,0.0,0.749568,-0.749568,0.0,0.749568,-0.749568,0.0,0.749568,-0.749568,0.0,0.749568,-0.562176,0.0,0.749568,-0.562176,0.0,0.749568,-0.562176,0.0,0.749568,-0.562176,0.0,0.749568,-0.562176,0.0,0.749568,-0.374784,0.0,0.749568,-0.374784,0.0,0.749568,-0.374784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,0,0.749568,-0.374784,0.0,0.749568,-0.374784,0.0,0.93696,-0.374784,-0.187392,0.93696,-0.374784,-0.187392,0.93696,-0.187392,0.0,0.93696,-0.187392,0.0,0.93696,-0.187392,-0.187392,0.93696,-0.187392,-0.187392,0.93696,-0.187392,0.0,0.93696,-0.187392,0.0,0.93696,-0.374784,0.0,1.124352,-0.374784,0.0,1.311744,-0.187392,0.0,1.311744,-0.187392,0.0,1.311744,-0.187392,0.0,1.124352,-0.187392,0.0,1.124352,-0.187392,0.0,1.124352,-0.187392,0.0,1.124352,-0.187392,0.374784,1.124352,-0.187392,0.562176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.25,0,0.93696,-0.187392,0.374784,0.93696,0.0,0.0,1.311744,0.0,0.187392,1.311744,0.0,0.374784,1.124352,0.0,0.187392,1.124352,0.187392,0.187392,1.124352,0.0,0.187392,1.124352,0.187392,0.187392,1.124352,0.187392,0.187392,1.124352,0.187392,0.187392,1.124352,0.374784,0.0,1.124352,0.374784,0.0,1.124352,0.374784,0.0,0.93696,0.374784,0.0,0.93696,0.374784,0.0,0.93696,0.374784,0.0,0.93696,0.374784,0.0,0.93696,0.374784,0.0,0.93696,0.562176,-0.187392,0.93696,0.562176,-0.187392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.5,0,0.93696,0.562176,-0.187392,0.93696,0.562176,-0.187392,0.93696,0.562176,-0.187392,0.93696,0.562176,-0.187392,0.93696,0.562176,-0.187392,0.93696,0.562176,-0.374784,0.93696,0.562176,-0.374784,0.749568,0.562176,-0.374784,0.749568,0.562176,-0.374784,0.93696,0.374784,-0.374784,0.749568,0.374784,-0.374784,0.749568,0.374784,-0.374784,0.749568,0.374784,-0.374784,0.93696,0.374784,-0.374784,0.93696,0.562176,-0.374784,0.93696,0.562176,-0.374784,0.749568,0.562176,-0.374784,0.749568,0.562176,-0.374784,0.749568,0.562176,-0.374784,0.749568,0.562176,-0.374784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.75,0,0.749568,0.562176,-0.374784,0.749568,0.562176,-0.374784,0.749568,0.562176,-0.374784,0.749568,0.562176,-0.374784,0.749568,0.562176,-0.374784,0.749568,0.562176,-0.374784,0.749568,0.374784,-0.374784,0.749568,0.374784,-0.374784,0.749568,0.187392,-0.374784,0.749568,0.187392,-0.374784,0.749568,0.187392,-0.374784,0.749568,0.0,-0.374784,0.749568,0.0,-0.374784,0.749568,0.0,-0.562176,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,0,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.562176,-0.374784,-0.562176,0.562176,-0.374784,-0.562176,0.562176,-0.374784,-0.562176,0.562176,-0.374784,-0.562176,0.562176,-0.374784,-0.562176,0.562176,-0.374784,-0.562176,0.562176,-0.374784,-0.562176,0.374784,-0.374784,-0.562176,0.374784,-0.374784,-0.562176,0.374784,-0.562176,-0.749568,0.374784,-0.562176,-0.749568,0.562176,-0.562176,-0.749568,0.374784,-0.374784,-0.749568,0.374784,-0.374784,-0.749568,0.374784,-0.374784,-0.749568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.25,0,0.374784,-0.187392,-0.749568,0.374784,-0.187392,-0.749568,0.187392,-0.187392,-0.749568,0.187392,-0.374784,-0.749568,0.187392,-0.374784,-0.749568,0.187392,-0.187392,-0.749568,0.187392,-0.374784,-0.749568,0.187392,-0.374784,-0.749568,0.187392,-0.374784,-0.749568,0.0,-0.374784,-0.749568,0.0,-0.374784,-0.749568,0.0,-0.374784,-0.749568,0.0,-0.374784,-0.93696,0.0,-0.374784,-0.93696,0.0,-0.374784,-0.93696,0.0,-0.374784,-0.93696,0.0,-0.374784,-0.93696,-0.187392,-0.374784,-0.93696,-0.187392,-0.374784,-0.93696,-0.187392,-0.374784,-0.93696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.5,0,-0.187392,-0.374784,-0.93696,-0.187392,-0.374784,-0.93696,-0.187392,-0.374784,-0.93696,-0.187392,-0.374784,-0.93696,-0.187392,-0.374784,-0.93696,-0.187392,-0.374784,-0.93696,-0.187392,-0.374784,-0.93696,-0.187392,-0.374784,-0.93696,-0.187392,-0.374784,-0.93696,-0.187392,-0.374784,-0.93696,-0.374784,-0.374784,-0.93696,-0.374784,-0.374784,-0.93696,-0.374784,-0.374784,-0.93696,-0.374784,-0.374784,-0.93696,-0.374784,-0.374784,-0.93696,-0.374784,-0.374784,-0.93696,-0.374784,-0.374784,-0.93696,-0.374784,-0.374784,-0.93696,-0.374784,-0.374784,-0.93696,-0.374784,-0.374784,-0.93696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.75,0,-0.374784,-0.374784,-0.93696,-0.562176,-0.374784,-0.93696,-0.562176,-0.374784,-0.93696,-0.562176,-0.374784,-0.93696,-0.562176,-0.374784,-0.93696,-0.562176,-0.374784,-0.93696,-0.562176,-0.374784,-0.93696,-0.562176,-0.374784,-0.93696,-0.562176,-0.374784,-0.93696,-0.749568,-0.374784,-0.93696,-0.749568,-0.562176,-0.93696,-0.749568,-0.562176,-0.93696,-0.749568,-0.562176,-0.93696,-0.749568,-0.562176,-0.93696,-0.749568,-0.562176,-0.93696,-0.749568,-0.562176,-0.93696,-0.749568,-0.562176,-0.93696,-0.749568,-0.562176,-0.93696,-0.749568,-0.562176,-0.93696,-0.749568,-0.749568,-0.93696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,0,-0.93696,-0.749568,-0.93696,-0.93696,-0.749568,-0.93696,-0.93696,-0.749568,-0.93696,-0.93696,-0.749568,-0.93696,-0.93696,-0.749568,-0.93696,-0.93696,-0.749568,-0.93696,-0.93696,-0.749568,-0.93696,-0.93696,-0.749568,-0.93696,-0.93696,-0.749568,-0.93696,-0.93696,-0.749568,-0.93696,-0.93696,-0.749568,-0.93696,-0.749568,-0.749568,-0.749568,-0.93696,-0.93696,-0.749568,-0.93696,-0.749568,-0.749568,-0.93696,-0.749568,-0.749568,-0.93696,-0.749568,-0.749568,-0.93696,-0.562176,-0.749568,-0.93696,-0.562176,-0.749568,-0.749568,-0.562176,-0.749568,-0.749568,-0.562176,-0.749568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.25,0,-0.749568,-0.562176,-0.749568,-0.749568,-0.562176,-0.749568,-0.749568,-0.562176,-0.749568,-0.749568,-0.562176,-0.749568,-0.562176,-0.562176,-0.749568,-0.562176,-0.374784,-0.749568,-0.562176,-0.374784,-0.749568,-0.562176,-0.374784,-0.749568,-0.562176,-0.374784,-0.749568,-0.562176,-0.374784,-0.749568,-0.374784,-0.374784,-0.749568,-0.374784,-0.374784,-0.93696,-0.374784,-0.374784,-0.93696,-0.374784,-0.374784,-0.93696,-0.374784,-0.374784,-0.93696,-0.374784,-0.187392,-0.93696,-0.374784,-0.187392,-0.93696,-0.187392,-0.187392,-0.93696,-0.187392,-0.187392,-0.93696,-0.187392,-0.187392,-0.93696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.5,0,-0.187392,-0.187392,-0.93696,-0.187392,-0.187392,-0.93696,-0.187392,-0.187392,-0.93696,0.0,0.0,-0.93696,0.0,0.0,-0.93696,0.0,0.0,-0.93696,0.0,0.0,-0.93696,0.0,0.0,-0.93696,0.0,0.0,-0.93696,0.0,-0.187392,-0.93696,0.0,-0.187392,-0.93696,0.0,0.0,-0.93696,0.0,0.0,-0.749568,0.0,0.0,-0.749568,0.187392,0.0,-0.749568,0.187392,0.0,-0.93696,0.187392,0.0,-0.93696,0.187392,0.0,-0.93696,0.187392,0.0,-0.93696,0.187392,0.0,-0.93696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.75,0,0.374784,0.0,-0.93696,0.374784,0.0,-0.93696,0.374784,0.0,-0.93696,0.374784,-0.187392,-0.93696,0.374784,-0.187392,-0.93696,0.374784,-0.187392,-0.93696,0.562176,-0.187392,-0.749568,0.562176,-0.187392,-0.749568,0.562176,-0.187392,-0.749568,0.562176,-0.187392,-0.749568,0.562176,-0.187392,-0.749568,0.562176,-0.187392,-0.749568,0.562176,-0.187392,-0.749568,0.562176,-0.374784,-0.749568,0.562176,-0.374784,-0.749568,0.562176,-0.374784,-0.749568,0.562176,-0.187392,-0.749568,0.562176,-0.374784,-0.749568,0.374784,-0.374784,-0.749568,0.374784,-0.374784,-0.749568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,0,0.374784,-0.374784,-0.749568,0.562176,-0.374784,-0.749568,0.562176,-0.374784,-0.749568,0.562176,-0.374784,-0.749568,0.562176,-0.374784,-0.749568,0.562176,-0.374784,-0.749568,0.562176,-0.562176,-0.749568,0.562176,-0.562176,-0.749568,0.562176,-0.562176,-0.749568,0.562176,-0.374784,-0.749568,0.562176,-0.374784,-0.749568,0.562176,-0.374784,-0.749568,0.562176,-0.374784,-0.749568,0.562176,-0.562176,-0.749568,0.562176,-0.562176,-0.749568,0.562176,-0.562176,-0.749568,0.562176,-0.562176,-0.749568,0.562176,-0.562176,-0.749568,0.562176,-0.562176,-0.749568,0.562176,-0.562176,-0.749568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.25,0,0.562176,-0.562176,-0.749568,0.562176,-0.562176,-0.749568,0.562176,-0.562176,-0.749568,0.562176,-0.562176,-0.749568,0.562176,-0.562176,-0.749568,0.562176,-0.374784,-0.749568,0.562176,-0.374784,-0.749568,0.562176,-0.374784,-0.749568,0.562176,-0.374784,-0.749568,0.562176,-0.374784,-0.749568,0.562176,-0.374784,-0.749568,0.562176,-0.374784,-0.749568,0.562176,-0.374784,-0.749568,0.562176,-0.374784,-0.749568,0.562176,-0.374784,-0.749568,0.562176,-0.187392,-0.749568,0.562176,-0.187392,-0.749568,0.562176,-0.187392,-0.749568,0.562176,-0.187392,-0.749568,0.562176,-0.187392,-0.749568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.5,0,0.562176,-0.187392,-0.749568,0.562176,-0.187392,-0.749568,0.562176,-0.187392,-0.749568,0.562176,-0.187392,-0.749568,0.749568,-0.187392,-0.749568,0.749568,-0.187392,-0.749568,0.749568,-0.187392,-0.749568,0.749568,-0.187392,-0.749568,0.749568,-0.187392,-0.749568,0.749568,0.0,-0.749568,0.749568,0.0,-0.749568,0.749568,0.0,-0.749568,0.749568,0.0,-0.749568,0.749568,0.0,-0.749568,0.749568,0.187392,-0.749568,0.749568,0.187392,-0.749568,0.749568,0.187392,-0.749568,0.749568,0.187392,-0.749568,0.749568,0.187392,-0.749568,0.749568,0.187392,-0.749568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.75,0,0.749568,0.187392,-0.562176,0.749568,0.187392,-0.562176,0.749568,0.187392,-0.562176,0.749568,0.187392,-0.562176,0.749568,0.187392,-0.562176,0.93696,0.187392,-0.562176,0.93696,0.187392,-0.562176,0.749568,0.187392,-0.562176,0.749568,0.187392,-0.374784,0.749568,0.187392,-0.374784,0.749568,0.187392,-0.374784,0.749568,0.187392,-0.374784,0.93696,0.0,-0.374784,0.749568,0.0,-0.374784,0.749568,0.0,-0.187392,0.749568,0.0,-0.374784,0.93696,0.0,-0.562176,0.93696,0.0,-0.374784,0.749568,0.0,-0.374784,0.93696,0.0,-0.374784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.0,0,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.374784,0.749568,0.0,-0.374784,0.749568,0.0,-0.374784,0.749568,0.0,-0.374784,0.749568,0.0,-0.562176,0.749568,0.0,-0.562176,0.749568,0.0,-0.562176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.25,0,0.749568,0.0,-0.562176,0.749568,0.0,-0.562176,0.749568,0.0,-0.562176,0.749568,0.0,-0.562176,0.749568,0.0,-0.374784,0.749568,0.0,-0.562176,0.749568,0.0,-0.562176,0.93696,0.0,-0.562176,0.93696,0.0,-0.562176,0.93696,0.0,-0.562176,0.93696,0.0,-0.374784,0.93696,-0.187392,-0.374784,0.93696,-0.187392,-0.374784,0.93696,0.0,-0.374784,0.93696,0.0,-0.562176,0.93696,0.0,-0.562176,0.93696,0.0,-0.562176,0.93696,-0.187392,-0.562176,0.93696,-0.187392,-0.374784,0.749568,-0.374784,-0.374784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.5,0,0.749568,-0.374784,-0.374784,0.749568,-0.187392,-0.374784,0.93696,-0.187392,-0.374784,0.93696,-0.187392,-0.374784,0.93696,0.0,-0.374784,0.93696,-0.187392,-0.374784,0.93696,-0.187392,-0.374784,0.93696,-0.187392,-0.374784,0.93696,-0.187392,-0.374784,0.93696,-0.187392,-0.374784,0.749568,-0.374784,-0.374784,0.749568,-0.374784,-0.374784,0.749568,-0.374784,-0.374784,0.749568,-0.374784,-0.374784,0.749568,-0.374784,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.93696,-0.374784,-0.374784,0.93696,-0.374784,-0.374784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.75,0,0.93696,-0.187392,-0.374784,0.93696,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.374784,-0.374784,0.749568,-0.187392,-0.562176,0.749568,-0.374784,-0.562176,0.749568,-0.374784,-0.562176,0.749568,-0.374784,-0.562176,0.749568,-0.374784,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,0,0.749568,-0.187392,-0.374784,0.93696,-0.187392,-0.374784,0.93696,-0.187392,-0.374784,0.93696,-0.187392,-0.374784,0.93696,-0.187392,-0.374784,0.93696,-0.374784,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.93696,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.374784,-0.374784,0.93696,-0.374784,-0.374784,0.749568,-0.187392,-0.562176,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.562176,0.749568,-0.374784,-0.562176,0.749568,-0.374784,-0.562176,0.749568,-0.187392,-0.562176,0.749568,-0.187392,-0.562176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.25,0,0.749568,-0.187392,-0.562176,0.749568,-0.187392,-0.562176,0.749568,-0.187392,-0.749568,0.749568,-0.187392,-0.749568,0.749568,-0.187392,-0.749568,0.749568,-0.187392,-0.749568,0.749568,-0.187392,-0.749568,0.749568,-0.187392,-0.749568,0.749568,0.0,-0.749568,0.749568,0.0,-0.749568,0.749568,0.0,-0.749568,0.749568,0.0,-0.749568,0.749568,0.187392,-0.749568,0.749568,0.0,-0.749568,0.749568,0.0,-0.749568,0.749568,0.0,-0.749568,0.749568,0.0,-0.749568,0.749568,0.0,-0.749568,0.562176,0.187392,-0.749568,0.562176,0.187392,-0.749568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.5,0,0.562176,0.187392,-0.749568,0.562176,0.187392,-0.749568,0.562176,0.0,-0.749568,0.562176,0.0,-0.749568,0.562176,0.0,-0.749568,0.562176,0.0,-0.749568,0.562176,0.0,-0.749568,0.562176,0.0,-0.749568,0.562176,0.0,-0.749568,0.562176,0.0,-0.749568,0.749568,0.0,-0.749568,0.749568,0.0,-0.749568,0.749568,0.0,-0.749568,0.562176,0.0,-0.749568,0.562176,0.0,-0.749568,0.562176,0.0,-0.749568,0.562176,0.0,-0.562176,0.562176,0.0,-0.562176,0.562176,0.0,-0.749568,0.562176,0.0,-0.562176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.75,0,0.562176,0.0,-0.562176,0.562176,0.0,-0.562176,0.562176,0.0,-0.749568,0.562176,0.0,-0.749568,0.749568,0.0,-0.749568,0.749568,0.0,-0.749568,0.749568,-0.187392,-0.749568,0.749568,-0.187392,-0.749568,0.749568,0.0,-0.749568,0.749568,0.0,-0.749568,0.749568,0.0,-0.749568,0.749568,0.0,-0.749568,0.749568,0.0,-0.749568,0.749568,-0.187392,-0.749568,0.749568,-0.187392,-0.562176,0.749568,-0.187392,-0.562176,0.93696,-0.187392,-0.562176,0.93696,-0.187392,-0.562176,0.749568,-0.187392,-0.562176,0.749568,-0.374784,-0.562176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39.0,0,0.749568,-0.374784,-0.562176,0.749568,-0.374784,-0.562176,0.93696,-0.374784,-0.562176,0.93696,-0.374784,-0.562176,0.93696,-0.374784,-0.562176,0.93696,-0.374784,-0.562176,0.93696,-0.374784,-0.374784,0.93696,-0.374784,-0.374784,0.93696,-0.374784,-0.374784,0.93696,-0.187392,-0.374784,0.749568,-0.374784,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.187392,-0.374784,0.749568,-0.374784,-0.374784,0.93696,-0.374784,-0.374784,0.93696,-0.374784,-0.374784,0.93696,-0.374784,-0.374784,0.93696,-0.374784,-0.374784,0.93696,-0.374784,-0.187392,0.93696,-0.374784,-0.187392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
